Date,ON
2016-08-11,0.4202
2016-08-12,0.4191
2016-08-13,
2016-08-14,
2016-08-15,0.41889
2016-08-16,0.41778
2016-08-17,0.41722
2016-08-18,0.41722
2016-08-19,0.41556
2016-08-20,
2016-08-21,
2016-08-22,0.41667
2016-08-23,0.41778
2016-08-24,0.41833
2016-08-25,0.41989
2016-08-26,0.41833
2016-08-27,
2016-08-28,
2016-08-29,
2016-08-30,0.41944
2016-08-31,0.41944
2016-09-01,0.41611
2016-09-02,0.42044
2016-09-03,
2016-09-04,
2016-09-05,0.42044
2016-09-06,0.42044
2016-09-07,0.42156
2016-09-08,0.42211
2016-09-09,0.42156
2016-09-10,
2016-09-11,
2016-09-12,0.421
2016-09-13,0.421
2016-09-14,0.42211
2016-09-15,0.42156
2016-09-16,0.42044
2016-09-17,
2016-09-18,
2016-09-19,0.42156
2016-09-20,0.42211
2016-09-21,0.42211
2016-09-22,0.42322
2016-09-23,0.42322
2016-09-24,
2016-09-25,
2016-09-26,0.42433
2016-09-27,0.42544
2016-09-28,0.42063
2016-09-29,0.41989
2016-09-30,0.42378
2016-10-01,
2016-10-02,
2016-10-03,0.42267
2016-10-04,0.42433
2016-10-05,0.42822
2016-10-06,0.42878
2016-10-07,0.42656
2016-10-08,
2016-10-09,
2016-10-10,0.42656
2016-10-11,0.42767
2016-10-12,0.42878
2016-10-13,0.431
2016-10-14,0.43044
2016-10-15,
2016-10-16,
2016-10-17,0.43322
2016-10-18,0.43322
2016-10-19,0.43378
2016-10-20,0.43322
2016-10-21,0.43322
2016-10-22,
2016-10-23,
2016-10-24,0.43211
2016-10-25,0.43433
2016-10-26,0.43433
2016-10-27,0.43489
2016-10-28,0.43544
2016-10-29,
2016-10-30,
2016-10-31,0.43344
2016-11-01,0.43456
2016-11-02,0.43733
2016-11-03,0.43678
2016-11-04,0.43511
2016-11-05,
2016-11-06,
2016-11-07,0.43456
2016-11-08,0.434
2016-11-09,0.43233
2016-11-10,0.43233
2016-11-11,0.43233
2016-11-12,
2016-11-13,
2016-11-14,0.43344
2016-11-15,0.43289
2016-11-16,0.43289
2016-11-17,0.43456
2016-11-18,0.43367
2016-11-19,
2016-11-20,
2016-11-21,0.43367
2016-11-22,0.43367
2016-11-23,0.43422
2016-11-24,0.43422
2016-11-25,0.43478
2016-11-26,
2016-11-27,
2016-11-28,0.43422
2016-11-29,0.43422
2016-11-30,0.43056
2016-12-01,0.43422
2016-12-02,0.43478
2016-12-03,
2016-12-04,
2016-12-05,0.43478
2016-12-06,0.43422
2016-12-07,0.43367
2016-12-08,0.43311
2016-12-09,0.43422
2016-12-10,
2016-12-11,
2016-12-12,0.437
2016-12-13,0.437
2016-12-14,0.43867
2016-12-15,0.67889
2016-12-16,0.68389
2016-12-17,
2016-12-18,
2016-12-19,0.68111
2016-12-20,0.68378
2016-12-21,0.686
2016-12-22,0.68656
2016-12-23,0.69378
2016-12-24,
2016-12-25,
2016-12-26,
2016-12-27,
2016-12-28,0.68656
2016-12-29,0.68822
2016-12-30,0.69211
2016-12-31,
2017-01-01,
2017-01-02,
2017-01-03,0.69544
2017-01-04,0.69044
2017-01-05,0.69222
2017-01-06,0.691
2017-01-07,
2017-01-08,
2017-01-09,0.693
2017-01-10,0.69333
2017-01-11,0.69278
2017-01-12,0.69278
2017-01-13,0.69278
2017-01-14,
2017-01-15,
2017-01-16,0.69278
2017-01-17,0.69
2017-01-18,0.68944
2017-01-19,0.69
2017-01-20,0.68833
2017-01-21,
2017-01-22,
2017-01-23,0.68889
2017-01-24,0.68833
2017-01-25,0.68833
2017-01-26,0.68722
2017-01-27,0.69
2017-01-28,
2017-01-29,
2017-01-30,0.69167
2017-01-31,0.69
2017-02-01,0.69111
2017-02-02,0.68833
2017-02-03,0.69278
2017-02-04,
2017-02-05,
2017-02-06,0.68833
2017-02-07,0.68778
2017-02-08,0.68667
2017-02-09,0.68667
2017-02-10,0.68778
2017-02-11,
2017-02-12,
2017-02-13,0.68722
2017-02-14,0.68722
2017-02-15,0.68556
2017-02-16,0.68611
2017-02-17,0.68611
2017-02-18,
2017-02-19,
2017-02-20,0.68611
2017-02-21,0.68611
2017-02-22,0.68333
2017-02-23,0.68333
2017-02-24,0.68278
2017-02-25,
2017-02-26,
2017-02-27,0.68333
2017-02-28,0.68056
2017-03-01,0.68167
2017-03-02,0.68278
2017-03-03,0.68278
2017-03-04,
2017-03-05,
2017-03-06,0.68278
2017-03-07,0.68278
2017-03-08,0.68211
2017-03-09,0.68211
2017-03-10,0.68189
2017-03-11,
2017-03-12,
2017-03-13,0.68278
2017-03-14,0.68689
2017-03-15,0.68667
2017-03-16,0.92578
2017-03-17,0.92422
2017-03-18,
2017-03-19,
2017-03-20,0.92644
2017-03-21,0.92533
2017-03-22,0.92667
2017-03-23,0.92611
2017-03-24,0.92667
2017-03-25,
2017-03-26,
2017-03-27,0.92444
2017-03-28,0.925
2017-03-29,0.92556
2017-03-30,0.92667
2017-03-31,0.92167
2017-04-01,
2017-04-02,
2017-04-03,0.92722
2017-04-04,0.93
2017-04-05,0.93111
2017-04-06,0.93
2017-04-07,0.93056
2017-04-08,
2017-04-09,
2017-04-10,
2017-04-11,0.92722
2017-04-12,0.92778
2017-04-13,0.92611
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,
2017-04-18,0.93
2017-04-19,0.93
2017-04-20,0.92944
2017-04-21,0.92944
2017-04-22,
2017-04-23,
2017-04-24,0.92667
2017-04-25,0.92833
2017-04-26,0.93028
2017-04-27,0.93056
2017-04-28,0.92944
2017-04-29,
2017-04-30,
2017-05-01,
2017-05-02,0.92667
2017-05-03,0.92722
2017-05-04,0.92778
2017-05-05,0.92778
2017-05-06,
2017-05-07,
2017-05-08,0.92778
2017-05-09,0.92722
2017-05-10,0.92833
2017-05-11,0.92833
2017-05-12,0.92833
2017-05-13,
2017-05-14,
2017-05-15,0.92889
2017-05-16,0.92833
2017-05-17,0.92833
2017-05-18,0.92778
2017-05-19,0.92889
2017-05-20,
2017-05-21,
2017-05-22,0.92889
2017-05-23,0.93056
2017-05-24,0.93056
2017-05-25,0.93
2017-05-26,0.93
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,0.93111
2017-05-31,0.92889
2017-06-01,0.93111
2017-06-02,0.93111
2017-06-03,
2017-06-04,
2017-06-05,0.93111
2017-06-06,0.93056
2017-06-07,0.93111
2017-06-08,0.93056
2017-06-09,0.93111
2017-06-10,
2017-06-11,
2017-06-12,0.93111
2017-06-13,0.93111
2017-06-14,0.93111
2017-06-15,1.175
2017-06-16,1.17722
2017-06-17,
2017-06-18,
2017-06-19,1.17667
2017-06-20,1.17611
2017-06-21,1.17722
2017-06-22,1.17722
2017-06-23,1.17667
2017-06-24,
2017-06-25,
2017-06-26,1.17611
2017-06-27,1.17611
2017-06-28,1.17667
2017-06-29,1.17333
2017-06-30,1.16167
2017-07-01,
2017-07-02,
2017-07-03,1.17167
2017-07-04,1.17167
2017-07-05,1.17389
2017-07-06,1.17389
2017-07-07,1.17389
2017-07-08,
2017-07-09,
2017-07-10,1.17444
2017-07-11,1.17722
2017-07-12,1.17833
2017-07-13,1.17833
2017-07-14,1.17722
2017-07-15,
2017-07-16,
2017-07-17,1.17778
2017-07-18,1.17722
2017-07-19,1.17889
2017-07-20,1.17889
2017-07-21,1.17889
2017-07-22,
2017-07-23,
2017-07-24,1.17889
2017-07-25,1.18
2017-07-26,1.17778
2017-07-27,1.17722
2017-07-28,1.17833
2017-07-29,
2017-07-30,
2017-07-31,1.17611
2017-08-01,1.17556
2017-08-02,1.17722
2017-08-03,1.17722
2017-08-04,1.17778
2017-08-05,
2017-08-06,
2017-08-07,1.17722
2017-08-08,1.17778
2017-08-09,1.17778
2017-08-10,1.17778
2017-08-11,1.17778
2017-08-12,
2017-08-13,
2017-08-14,1.17778
2017-08-15,1.17778
2017-08-16,1.17889
2017-08-17,1.17778
2017-08-18,1.17722
2017-08-19,
2017-08-20,
2017-08-21,1.17778
2017-08-22,1.17778
2017-08-23,1.17778
2017-08-24,1.17778
2017-08-25,1.17778
2017-08-26,
2017-08-27,
2017-08-28,
2017-08-29,1.17833
2017-08-30,1.17778
2017-08-31,1.17556
2017-09-01,1.17722
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,1.17778
2017-09-06,1.17611
2017-09-07,1.17611
2017-09-08,1.17722
2017-09-09,
2017-09-10,
2017-09-11,1.17778
2017-09-12,1.17778
2017-09-13,1.17722
2017-09-14,1.17889
2017-09-15,1.17889
2017-09-16,
2017-09-17,
2017-09-18,1.17889
2017-09-19,1.17889
2017-09-20,1.17889
2017-09-21,1.17889
2017-09-22,1.17889
2017-09-23,
2017-09-24,
2017-09-25,1.17833
2017-09-26,1.17833
2017-09-27,1.18
2017-09-28,1.18111
2017-09-29,1.18167
2017-09-30,
2017-10-01,
2017-10-02,1.18
2017-10-03,1.18056
2017-10-04,1.18222
2017-10-05,1.18222
2017-10-06,1.18222
2017-10-07,
2017-10-08,
2017-10-09,
2017-10-10,1.18167
2017-10-11,1.18333
2017-10-12,1.18444
2017-10-13,1.18444
2017-10-14,
2017-10-15,
2017-10-16,1.18444
2017-10-17,1.18444
2017-10-18,1.18444
2017-10-19,1.185
2017-10-20,1.18444
2017-10-21,
2017-10-22,
2017-10-23,1.18444
2017-10-24,1.18444
2017-10-25,1.18444
2017-10-26,1.18444
2017-10-27,1.18444
2017-10-28,
2017-10-29,
2017-10-30,1.185
2017-10-31,1.18222
2017-11-01,1.18222
2017-11-02,1.18389
2017-11-03,1.18444
2017-11-04,
2017-11-05,
2017-11-06,1.18389
2017-11-07,1.18389
2017-11-08,1.18333
2017-11-09,1.18333
2017-11-10,1.18333
2017-11-11,
2017-11-12,
2017-11-13,1.18278
2017-11-14,1.18278
2017-11-15,1.18278
2017-11-16,1.18278
2017-11-17,1.18278
2017-11-18,
2017-11-19,
2017-11-20,1.18278
2017-11-21,1.18278
2017-11-22,1.18278
2017-11-23,
2017-11-24,1.18375
2017-11-25,
2017-11-26,
2017-11-27,1.18375
2017-11-28,1.185
2017-11-29,1.18625
2017-11-30,1.18
2017-12-01,1.1825
2017-12-02,
2017-12-03,
2017-12-04,1.1825
2017-12-05,1.1825
2017-12-06,1.1825
2017-12-07,1.1825
2017-12-08,1.1825
2017-12-09,
2017-12-10,
2017-12-11,1.1825
2017-12-12,1.1825
2017-12-13,1.1825
2017-12-14,1.4275
2017-12-15,1.43313
2017-12-16,
2017-12-17,
2017-12-18,1.43313
2017-12-19,1.43313
2017-12-20,1.43438
2017-12-21,1.43438
2017-12-22,1.43438
2017-12-23,
2017-12-24,
2017-12-25,
